"filename", "language", "JSON with Comments", "JSON", "Markdown", "TypeScript", "CSS", "HTML", "JavaScript", "comment", "blank", "total"
"d:\synoptek\dotnet training\Exercise\Frontend\job-portalweb\src\app\models\vacancy.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 0, 0, 1, 13
"d:\synoptek\dotnet training\Exercise\Frontend\job-portalweb\src\app\services\employer.service.spec.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 0, 0, 5, 17
"d:\synoptek\dotnet training\Exercise\Frontend\job-portalweb\src\app\services\employer.service.ts", "TypeScript", 0, 0, 0, 53, 0, 0, 0, 0, 13, 66
"d:\synoptek\dotnet training\Exercise\Frontend\job-portalweb\src\app\services\jobseeker.service.spec.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 0, 0, 5, 17
"d:\synoptek\dotnet training\Exercise\Frontend\job-portalweb\src\app\services\jobseeker.service.ts", "TypeScript", 0, 0, 0, 121, 0, 0, 0, 0, 28, 149
"d:\synoptek\dotnet training\Exercise\Frontend\job-portalweb\src\app\services\user.service.spec.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 0, 0, 5, 17
"d:\synoptek\dotnet training\Exercise\Frontend\job-portalweb\src\app\services\user.service.ts", "TypeScript", 0, 0, 0, 46, 0, 0, 0, 0, 16, 62
"d:\synoptek\dotnet training\Exercise\Frontend\job-portalweb\src\app\services\vacancy.service.spec.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 0, 0, 5, 17
"d:\synoptek\dotnet training\Exercise\Frontend\job-portalweb\src\app\services\vacancy.service.ts", "TypeScript", 0, 0, 0, 77, 0, 0, 0, 0, 28, 105
"d:\synoptek\dotnet training\Exercise\Frontend\job-portalweb\src\environments\environment.prod.ts", "TypeScript", 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"d:\synoptek\dotnet training\Exercise\Frontend\job-portalweb\src\environments\environment.ts", "TypeScript", 0, 0, 0, 3, 0, 0, 0, 11, 3, 17
"d:\synoptek\dotnet training\Exercise\Frontend\job-portalweb\src\index.html", "HTML", 0, 0, 0, 0, 0, 16, 0, 0, 1, 17
"d:\synoptek\dotnet training\Exercise\Frontend\job-portalweb\src\main.ts", "TypeScript", 0, 0, 0, 9, 0, 0, 0, 0, 4, 13
"d:\synoptek\dotnet training\Exercise\Frontend\job-portalweb\src\polyfills.ts", "TypeScript", 0, 0, 0, 1, 0, 0, 0, 47, 6, 54
"d:\synoptek\dotnet training\Exercise\Frontend\job-portalweb\src\styles.css", "CSS", 0, 0, 0, 0, 93, 0, 0, 1, 2, 96
"d:\synoptek\dotnet training\Exercise\Frontend\job-portalweb\src\test.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 4, 5, 27
"d:\synoptek\dotnet training\Exercise\Frontend\job-portalweb\tsconfig.app.json", "JSON", 0, 14, 0, 0, 0, 0, 0, 1, 1, 16
"d:\synoptek\dotnet training\Exercise\Frontend\job-portalweb\tsconfig.json", "JSON with Comments", 31, 0, 0, 0, 0, 0, 0, 1, 1, 33
"d:\synoptek\dotnet training\Exercise\Frontend\job-portalweb\tsconfig.spec.json", "JSON", 0, 17, 0, 0, 0, 0, 0, 1, 1, 19
"Total", "-", 31, 8634, 14, 2186, 109, 1293, 37, 131, 797, 13232
